Year,Atcurrentprices ,Atconstantprices
2005 - 2006,12.38,7.75
2006 - 2007,15.02,7.89
2007 - 2008,14.8,8.07
2008 - 2009,13.82,4.69
2009 - 2010,13.42,6.76
2010 - 2011,17.09,7.2
2011 - 2012(RE),13.69,4.66
2012 - 2013(QE),11.68,2.97
2013 - 2014(AE),10.44,2.84
