States/UTs,Agriculturalland
ANDHRA PRADESH,15930
ARUNACHAL PRADESH,424
ASSAM,3217
BIHAR,6582
CHHATTISGARH,5552
GOA,197
GUJARAT,12661
HARYANA,3664
HIMACHAL PRADESH,811
JAMMU & KASHMIR,1070
JHARKHAND,4336
KARNATAKA,12846
KERALA,2280
MADHYA PRADESH,17264
MAHARASHTRA,21129
MANIPUR,316
MEGHALAYA,1056
MIZORAM,408
NAGALAND,694
ODISHA,6743
PUNJAB,4286
RAJASTHAN,25548
SIKKIM,98
TAMIL NADU,8126
TRIPURA,277
UTTARAKHAND,1547
UTTAR PRADESH,19075
WEST BENGAL,5673
OTHERS,141
ALL INDIA,181950
